ID,gender,feduc,peducd,meduc,meducd,educ,educd,educsubj,score,salary9606,salary1,date1,salary2,date2,salary3,date3,salary4,date4,salary5,date5,salarynow,jobprotection,jobeduc,cpn2014
5080,女,小學,,國（初）中,公立,碩士,私立一般大學,工程、製造及營造領域,,0,4000,9406,,9606,30000,10208,,,,,30000,4,大學,1
5090,女,一般大學,公立,碩士,公立,一般大學,公立一般大學,人文及藝術領域,63,7500,7500,10007,25000,10104,,,,,,,27000,4,大學,1
5092,女,國（初）中,公立,小學,公立,技術學院或科技大學,私立技職學院,社會科學、商業及法律領域,,4500,12000,9406,,9409,17500,9506,,9509,4500,9701,25000,4,專科,1
5096,女,五專,公立,高職,私立,碩士,公立科技大學,工程、製造及營造領域,51,8000,8000,9607,,9609,8000,9707,,9709,15000,9907,35000,4,專科,1
5107,男,高中職業科,,五專,,碩士,公立科技大學,工程、製造及營造領域,,13200,13200,9606,,9910,,,,,,,13000,4,高中(職),1
5113,男,國（初）中,公立,小學,公立,一般大學,公立一般大學,工程、製造及營造領域,52,25000,25000,10203,,10212,,,,,,,25000,4,高中(職),1
5115,女,國（初）中,拒答,高職,,一般大學,公立一般大學,人文及藝術領域,60,0,,10006,25000,10107,30000,10208,,,,,30000,4,大學,1
5118,男,,,高中職業科,私立,技術學院或科技大學,私立技職學院,社會科學、商業及法律領域,,8000,8000,9608,9000,9809,18000,9907,,10109,,10209,27000,4,專科,1
5124,女,五專,,小學,,碩士,私立一般大學,科學領域,,26000,26000,10207,32000,10301,,,,,,,32000,4,大學,1
5131,男,高中,私立,國（初）中,,技術學院或科技大學,私立科技大學,工程、製造及營造領域,,26000,26000,9907,,9909,,10008,30000,10109,,10210,24000,4,國中以下,1
5132,男,,,,,碩士,私立一般大學,科學領域,,13000,13000,9810,8000,9903,,9908,,,,,8000,4,高中(職),1
5134,女,五專,私立,五專,私立,碩士,公立一般大學,科學領域,51,2000,2000,9908,30000,10307,,,,,,,30000,4,碩士,1
5137,男,五專,私立,高職,私立,碩士,私立一般大學,科學領域,63,0,,,,,,,,,,,,,,1
5146,女,五專,公立,,,一般大學,私立一般大學,社會科學、商業及法律領域,45,24000,24000,10010,25000,10104,26000,10111,,,,,28000,5,高中(職),1
5147,女,三專,,三專,,一般大學,私立一般大學,社會科學、商業及法律領域,53,30000,30000,10007,40000,10210,,,,,,,40000,4,高中(職),1
5151,女,國（初）中,公立,高職,公立,一般大學,公立一般大學,教育領域,50,0,,10008,,10101,43000,10108,43000,10208,,,43000,5,大學,1
5157,男,軍警校專修班,公立,高中普通科,私立,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,16000,16000,9906,,10010,27000,10112,,,,,27000,4,大學,1
5171,男,高職,,高職,,碩士,公立一般大學,科學領域,,45000,45000,10209,,,,,,,,,45000,4,碩士,1
5179,女,高職,私立,高中職業科,公立,一般大學,私立一般大學,社會科學、商業及法律領域,45,10000,10000,9607,,9609,10000,9701,20000,10008,,10203,20000,2,高中(職),1
5181,女,高職,私立,國（初）中,公立,碩士,私立技職學院,人文及藝術領域,45,0,,9907,,9908,,,,,,,,3,專科,1
5182,男,小學,,國（初）中,,技術學院或科技大學,私立科技大學,科學領域,,30000,30000,9407,,9409,30000,9507,,9509,30000,9607,,4,國中以下,1
5183,女,一般大學,私立,高職,,一般大學,公立一般大學,社會科學、商業及法律領域,56,10000,10000,9901,13000,9904,30000,10108,27000,10208,,,27000,4,大學,1
5187,女,高職,,高職,私立,一般大學,私立一般大學,社會科學、商業及法律領域,,7000,7000,9706,,9807,28000,10006,,10110,20000,10205,20000,4,大學,1
5191,女,高中,,國（初）中,,技術學院或科技大學,私立專科學校,醫藥衛生及社福領域,,33600,33600,9809,39000,10102,,,,,,,39000,4,專科,1
5193,男,不合理值,私立,五專,私立,碩士,私立一般大學,人文及藝術領域,,40000,40000,10207,,,,,,,,,40000,4,大學,1
5194,女,小學,,高中,,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,6000,10000,9596,6000,9609,20000,10009,20000,10109,23000,,27000,4,高中(職),1
5203,女,五專,,高職,,一般大學,公立一般大學,社會科學、商業及法律領域,64,25000,25000,10010,32000,10207,,,,,,,32000,2,專科,1
5204,女,國（初）中,,高職,,高職,,,,19000,19000,9607,25000,9708,40000,9810,,,,,38000,5,高中(職),1
5209,男,國（初）中,公立,小學,,一般大學,公立一般大學,農學領域,,26000,26000,10208,,,,,,,,,35000,4,高中(職),1
5214,男,國（初）中,,高職,,技術學院或科技大學,私立技職學院,人文及藝術領域,,18240,18240,9606,,9609,12000,9702,23040,9805,23040,9811,38000,3,國中以下,1
5215,男,國（初）中,,國（初）中,,技術學院或科技大學,私立一般大學,其他領域,,13000,13000,9607,,9609,20000,9707,,9709,25000,9807,35000,5,大學,1
5218,男,小學,公立,,,高職,,,,26000,26000,9703,30000,10210,,,,,,,36000,4,高中(職),1
